item_id,channel,recommended_warehouse,horizon,forecast_days,total_forecasted_demand,safety_stock,reorder_point,economic_order_quantity (EOQ)
A0044,Offline,central_offline_wh,1-Month,30,4.0,4,9,25
A0044,Offline,central_offline_wh,3-Month,90,13.0,4,9,27
A0044,Offline,central_offline_wh,6-Month,183,26.0,4,9,26
A0044,Web,central_online_wh,1-Month,30,4.0,4,9,25
A0044,Web,central_online_wh,3-Month,90,13.0,4,9,27
A0044,Web,central_online_wh,6-Month,183,26.0,4,9,26
A0052,App,central_online_wh,1-Month,30,70.0,32,126,107
A0052,App,central_online_wh,3-Month,90,221.0,33,131,109
A0052,App,central_online_wh,6-Month,183,442.0,33,129,108
A0052,Offline,central_offline_wh,1-Month,30,152.0,55,258,157
A0052,Offline,central_offline_wh,3-Month,90,455.0,52,254,157
A0052,Offline,central_offline_wh,6-Month,183,910.0,52,251,156
A0052,Web,central_online_wh,1-Month,30,155.0,58,265,159
A0052,Web,central_online_wh,3-Month,90,481.0,59,273,161
A0052,Web,central_online_wh,6-Month,183,965.0,59,270,160
A0055,App,central_online_wh,1-Month,30,0.0,0,0,10
A0055,App,central_online_wh,3-Month,90,0.0,0,0,10
A0055,App,central_online_wh,6-Month,183,0.0,0,0,10
A0055,Offline,central_offline_wh,1-Month,30,4.0,3,8,25
A0055,Offline,central_offline_wh,3-Month,90,13.0,3,9,27
A0055,Offline,central_offline_wh,6-Month,183,26.0,3,9,26
A0055,Web,central_online_wh,1-Month,30,8.0,6,16,36
A0055,Web,central_online_wh,3-Month,90,26.0,6,17,37
A0055,Web,central_online_wh,6-Month,183,52.0,6,17,37
A0056,App,central_online_wh,1-Month,30,60.0,17,97,99
A0056,App,central_online_wh,3-Month,90,182.0,17,98,99
A0056,App,central_online_wh,6-Month,183,367.0,17,97,99
A0056,Offline,central_offline_wh,1-Month,30,0.0,0,0,10
A0056,Offline,central_offline_wh,3-Month,90,0.0,0,0,10
A0056,Offline,central_offline_wh,6-Month,183,0.0,0,0,10
A0056,Web,central_online_wh,1-Month,30,133.0,28,205,147
A0056,Web,central_online_wh,3-Month,90,402.0,28,207,147
A0056,Web,central_online_wh,6-Month,183,810.0,29,206,147
A0112,App,central_online_wh,1-Month,30,0.0,0,0,10
A0112,App,central_online_wh,3-Month,90,0.0,0,0,10
A0112,App,central_online_wh,6-Month,183,0.0,0,0,10
A0112,Offline,central_offline_wh,1-Month,30,19.0,6,32,56
A0112,Offline,central_offline_wh,3-Month,90,52.0,6,29,53
A0112,Offline,central_offline_wh,6-Month,183,105.0,6,29,53
A0112,Web,central_online_wh,1-Month,30,0.0,0,0,10
A0112,Web,central_online_wh,3-Month,90,0.0,0,0,10
A0112,Web,central_online_wh,6-Month,183,0.0,0,0,10
A0113,App,central_online_wh,1-Month,30,0.0,0,0,10
A0113,App,central_online_wh,3-Month,90,0.0,0,0,10
A0113,App,central_online_wh,6-Month,183,0.0,0,0,10
A0113,Offline,central_offline_wh,1-Month,30,34.0,18,63,74
A0113,Offline,central_offline_wh,3-Month,90,91.0,17,57,70
A0113,Offline,central_offline_wh,6-Month,183,182.0,17,57,70
A0113,Web,central_online_wh,1-Month,30,0.0,0,0,10
A0113,Web,central_online_wh,3-Month,90,0.0,0,0,10
A0113,Web,central_online_wh,6-Month,183,0.0,0,0,10
A0121,App,central_online_wh,1-Month,30,64.0,42,127,102
A0121,App,central_online_wh,3-Month,90,208.0,42,135,106
A0121,App,central_online_wh,6-Month,183,416.0,42,133,105
A0121,Offline,central_offline_wh,1-Month,30,169.0,48,273,166
A0121,Offline,central_offline_wh,3-Month,90,494.0,46,265,163
A0121,Offline,central_offline_wh,6-Month,183,1000.0,46,265,163
A0121,Web,central_online_wh,1-Month,30,131.0,48,223,146
A0121,Web,central_online_wh,3-Month,90,415.0,48,233,150
A0121,Web,central_online_wh,6-Month,183,833.0,48,230,149
A0127,App,central_online_wh,1-Month,30,0.0,0,0,10
A0127,App,central_online_wh,3-Month,90,0.0,0,0,10
A0127,App,central_online_wh,6-Month,183,0.0,0,0,10
A0127,Offline,central_offline_wh,1-Month,30,0.0,0,0,10
A0127,Offline,central_offline_wh,3-Month,90,0.0,0,0,10
A0127,Offline,central_offline_wh,6-Month,183,0.0,0,0,10
A0127,Web,central_online_wh,1-Month,30,0.0,0,0,10
A0127,Web,central_online_wh,3-Month,90,0.0,0,0,10
A0127,Web,central_online_wh,6-Month,183,0.0,0,0,10
A0138,App,central_online_wh,1-Month,30,0.0,0,0,10
A0138,App,central_online_wh,3-Month,90,0.0,0,0,10
A0138,App,central_online_wh,6-Month,183,0.0,0,0,10
A0138,Offline,central_offline_wh,1-Month,30,0.0,0,0,10
A0138,Offline,central_offline_wh,3-Month,90,0.0,0,0,10
A0138,Offline,central_offline_wh,6-Month,183,0.0,0,0,10
A0138,Web,central_online_wh,1-Month,30,0.0,0,0,10
A0138,Web,central_online_wh,3-Month,90,0.0,0,0,10
A0138,Web,central_online_wh,6-Month,183,0.0,0,0,10
A0142,App,central_online_wh,1-Month,30,0.0,0,0,10
A0142,App,central_online_wh,3-Month,90,0.0,0,0,10
A0142,App,central_online_wh,6-Month,183,0.0,0,0,10
A0142,Offline,central_offline_wh,1-Month,30,21.0,8,36,58
A0142,Offline,central_offline_wh,3-Month,90,65.0,8,37,59
A0142,Offline,central_offline_wh,6-Month,183,130.0,8,37,59
A0142,Web,central_online_wh,1-Month,30,14.0,6,25,48
A0142,Web,central_online_wh,3-Month,90,39.0,6,23,46
A0142,Web,central_online_wh,6-Month,183,78.0,6,23,46
A0144,App,central_online_wh,1-Month,30,28.0,12,50,67
A0144,App,central_online_wh,3-Month,90,91.0,12,53,70
A0144,App,central_online_wh,6-Month,183,182.0,12,52,70
A0144,Offline,central_offline_wh,1-Month,30,4.0,4,10,25
A0144,Offline,central_offline_wh,3-Month,90,13.0,5,10,27
A0144,Offline,central_offline_wh,6-Month,183,26.0,5,10,26
A0144,Web,central_online_wh,1-Month,30,50.0,15,82,90
A0144,Web,central_online_wh,3-Month,90,156.0,15,84,92
A0144,Web,central_online_wh,6-Month,183,314.0,15,84,91
A0145,App,central_online_wh,1-Month,30,135.0,47,227,148
A0145,App,central_online_wh,3-Month,90,390.0,44,218,145
A0145,App,central_online_wh,6-Month,183,792.0,45,218,145
A0145,Offline,central_offline_wh,1-Month,30,27.0,9,45,66
A0145,Offline,central_offline_wh,3-Month,90,78.0,8,43,65
A0145,Offline,central_offline_wh,6-Month,183,157.0,8,43,65
A0145,Web,central_online_wh,1-Month,30,195.0,51,311,178
A0145,Web,central_online_wh,3-Month,90,585.0,49,309,178
A0145,Web,central_online_wh,6-Month,183,1182.0,50,308,177
A0146,App,central_online_wh,1-Month,30,0.0,0,0,10
A0146,App,central_online_wh,3-Month,90,0.0,0,0,10
A0146,App,central_online_wh,6-Month,183,0.0,0,0,10
A0146,Offline,central_offline_wh,1-Month,30,0.0,0,0,10
A0146,Offline,central_offline_wh,3-Month,90,0.0,0,0,10
A0146,Offline,central_offline_wh,6-Month,183,0.0,0,0,10
A0146,Web,central_online_wh,1-Month,30,0.0,0,0,10
A0146,Web,central_online_wh,3-Month,90,0.0,0,0,10
A0146,Web,central_online_wh,6-Month,183,0.0,0,0,10
A0150,App,central_online_wh,1-Month,30,0.0,0,0,10
A0150,App,central_online_wh,3-Month,90,0.0,0,0,10
A0150,App,central_online_wh,6-Month,183,0.0,0,0,10
A0150,Offline,central_offline_wh,1-Month,30,10.0,4,17,40
A0150,Offline,central_offline_wh,3-Month,90,26.0,4,15,37
A0150,Offline,central_offline_wh,6-Month,183,53.0,4,15,38
A0150,Web,central_online_wh,1-Month,30,0.0,0,0,10
A0150,Web,central_online_wh,3-Month,90,0.0,0,0,10
A0150,Web,central_online_wh,6-Month,183,0.0,0,0,10
A0151,App,central_online_wh,1-Month,30,4.0,3,8,25
A0151,App,central_online_wh,3-Month,90,13.0,3,9,27
A0151,App,central_online_wh,6-Month,183,26.0,3,9,26
A0151,Offline,central_offline_wh,1-Month,30,4.0,3,8,25
A0151,Offline,central_offline_wh,3-Month,90,13.0,3,9,27
A0151,Offline,central_offline_wh,6-Month,183,26.0,3,9,26
A0151,Web,central_online_wh,1-Month,30,8.0,6,16,36
A0151,Web,central_online_wh,3-Month,90,26.0,6,17,37
A0151,Web,central_online_wh,6-Month,183,52.0,6,17,37
A0156,App,central_online_wh,1-Month,30,0.0,0,0,10
A0156,App,central_online_wh,3-Month,90,0.0,0,0,10
A0156,App,central_online_wh,6-Month,183,0.0,0,0,10
A0156,Offline,central_offline_wh,1-Month,30,0.0,0,0,10
A0156,Offline,central_offline_wh,3-Month,90,0.0,0,0,10
A0156,Offline,central_offline_wh,6-Month,183,0.0,0,0,10
A0156,Web,central_online_wh,1-Month,30,0.0,0,0,10
A0156,Web,central_online_wh,3-Month,90,0.0,0,0,10
A0156,Web,central_online_wh,6-Month,183,0.0,0,0,10
A0161,App,central_online_wh,1-Month,30,0.0,0,0,10
A0161,App,central_online_wh,3-Month,90,0.0,0,0,10
A0161,App,central_online_wh,6-Month,183,0.0,0,0,10
A0161,Offline,central_offline_wh,1-Month,30,18.0,8,32,54
A0161,Offline,central_offline_wh,3-Month,90,52.0,7,30,53
A0161,Offline,central_offline_wh,6-Month,183,104.0,7,30,53
A0161,Web,central_online_wh,1-Month,30,0.0,0,0,10
A0161,Web,central_online_wh,3-Month,90,0.0,0,0,10
A0161,Web,central_online_wh,6-Month,183,0.0,0,0,10
A0186,App,central_online_wh,1-Month,30,0.0,0,0,10
A0186,App,central_online_wh,3-Month,90,0.0,0,0,10
A0186,App,central_online_wh,6-Month,183,0.0,0,0,10
A0186,Offline,central_offline_wh,1-Month,30,69.0,14,106,106
A0186,Offline,central_offline_wh,3-Month,90,208.0,14,107,106
A0186,Offline,central_offline_wh,6-Month,183,419.0,14,106,106
A0186,Web,central_online_wh,1-Month,30,0.0,0,0,10
A0186,Web,central_online_wh,3-Month,90,0.0,0,0,10
A0186,Web,central_online_wh,6-Month,183,0.0,0,0,10
A0187,App,central_online_wh,1-Month,30,0.0,0,0,10
A0187,App,central_online_wh,3-Month,90,0.0,0,0,10
A0187,App,central_online_wh,6-Month,183,0.0,0,0,10
A0187,Offline,central_offline_wh,1-Month,30,45.0,19,79,85
A0187,Offline,central_offline_wh,3-Month,90,130.0,18,76,84
A0187,Offline,central_offline_wh,6-Month,183,265.0,18,76,84
A0187,Web,central_online_wh,1-Month,30,0.0,0,0,10
A0187,Web,central_online_wh,3-Month,90,0.0,0,0,10
A0187,Web,central_online_wh,6-Month,183,0.0,0,0,10
A0188,App,central_online_wh,1-Month,30,25.0,5,39,64
A0188,App,central_online_wh,3-Month,90,78.0,5,40,65
A0188,App,central_online_wh,6-Month,183,157.0,5,39,65
A0188,Offline,central_offline_wh,1-Month,30,9.0,4,16,38
A0188,Offline,central_offline_wh,3-Month,90,26.0,4,15,37
A0188,Offline,central_offline_wh,6-Month,183,53.0,4,15,38
A0188,Web,central_online_wh,1-Month,30,25.0,5,39,64
A0188,Web,central_online_wh,3-Month,90,78.0,5,40,65
A0188,Web,central_online_wh,6-Month,183,157.0,5,39,65
A0190,App,central_online_wh,1-Month,30,4.0,3,8,25
A0190,App,central_online_wh,3-Month,90,13.0,3,9,27
A0190,App,central_online_wh,6-Month,183,26.0,3,9,26
A0190,Offline,central_offline_wh,1-Month,30,91.0,17,138,121
A0190,Offline,central_offline_wh,3-Month,90,260.0,16,131,119
A0190,Offline,central_offline_wh,6-Month,183,526.0,16,131,118
A0190,Web,central_online_wh,1-Month,30,4.0,3,8,25
A0190,Web,central_online_wh,3-Month,90,13.0,3,9,27
A0190,Web,central_online_wh,6-Month,183,26.0,3,9,26
A0210,App,central_online_wh,1-Month,30,0.0,0,0,10
A0210,App,central_online_wh,3-Month,90,0.0,0,0,10
A0210,App,central_online_wh,6-Month,183,0.0,0,0,10
A0210,Offline,central_offline_wh,1-Month,30,127.0,22,192,144
A0210,Offline,central_offline_wh,3-Month,90,390.0,22,196,145
A0210,Offline,central_offline_wh,6-Month,183,784.0,23,194,144
A0210,Web,central_online_wh,1-Month,30,0.0,0,0,10
A0210,Web,central_online_wh,3-Month,90,0.0,0,0,10
A0210,Web,central_online_wh,6-Month,183,0.0,0,0,10
A0215,App,central_online_wh,1-Month,30,202.0,58,328,181
A0215,App,central_online_wh,3-Month,90,611.0,57,329,182
A0215,App,central_online_wh,6-Month,183,1233.0,58,327,181
A0215,Offline,central_offline_wh,1-Month,30,70.0,28,121,107
A0215,Offline,central_offline_wh,3-Month,90,221.0,28,126,109
A0215,Offline,central_offline_wh,6-Month,183,444.0,28,125,109
A0215,Web,central_online_wh,1-Month,30,372.0,82,578,246
A0215,Web,central_online_wh,3-Month,90,1118.0,81,578,246
A0215,Web,central_online_wh,6-Month,183,2254.0,82,575,245
A0219,App,central_online_wh,1-Month,30,58.0,19,96,97
A0219,App,central_online_wh,3-Month,90,182.0,19,99,99
A0219,App,central_online_wh,6-Month,183,364.0,19,98,98
A0219,Offline,central_offline_wh,1-Month,30,29.0,15,53,69
A0219,Offline,central_offline_wh,3-Month,90,91.0,15,55,70
A0219,Offline,central_offline_wh,6-Month,183,183.0,15,55,70
A0219,Web,central_online_wh,1-Month,30,76.0,22,123,111
A0219,Web,central_online_wh,3-Month,90,234.0,22,126,112
A0219,Web,central_online_wh,6-Month,183,470.0,22,125,112
A0221,App,central_online_wh,1-Month,30,5.0,3,10,28
A0221,App,central_online_wh,3-Month,90,13.0,3,9,27
A0221,App,central_online_wh,6-Month,183,26.0,3,9,26
A0221,Offline,central_offline_wh,1-Month,30,0.0,0,0,10
A0221,Offline,central_offline_wh,3-Month,90,0.0,0,0,10
A0221,Offline,central_offline_wh,6-Month,183,0.0,0,0,10
A0221,Web,central_online_wh,1-Month,30,23.0,7,38,61
A0221,Web,central_online_wh,3-Month,90,65.0,7,36,59
A0221,Web,central_online_wh,6-Month,183,131.0,7,36,59
A0223,App,central_online_wh,1-Month,30,34.0,16,62,74
A0223,App,central_online_wh,3-Month,90,104.0,17,63,75
A0223,App,central_online_wh,6-Month,183,209.0,16,62,75
A0223,Offline,central_offline_wh,1-Month,30,66.0,11,99,103
A0223,Offline,central_offline_wh,3-Month,90,195.0,11,98,103
A0223,Offline,central_offline_wh,6-Month,183,392.0,11,97,102
A0223,Web,central_online_wh,1-Month,30,46.0,15,77,86
A0223,Web,central_online_wh,3-Month,90,143.0,16,79,88
A0223,Web,central_online_wh,6-Month,183,287.0,16,78,87
A0229,App,central_online_wh,1-Month,30,43.0,11,68,84
A0229,App,central_online_wh,3-Month,90,130.0,11,68,84
A0229,App,central_online_wh,6-Month,183,263.0,11,68,84
A0229,Offline,central_offline_wh,1-Month,30,0.0,0,0,10
A0229,Offline,central_offline_wh,3-Month,90,0.0,0,0,10
A0229,Offline,central_offline_wh,6-Month,183,0.0,0,0,10
A0229,Web,central_online_wh,1-Month,30,89.0,21,140,120
A0229,Web,central_online_wh,3-Month,90,260.0,21,136,119
A0229,Web,central_online_wh,6-Month,183,527.0,21,136,118
A0230,App,central_online_wh,1-Month,30,18.0,8,32,54
A0230,App,central_online_wh,3-Month,90,52.0,7,30,53
A0230,App,central_online_wh,6-Month,183,106.0,7,31,53
A0230,Offline,central_offline_wh,1-Month,30,0.0,0,0,10
A0230,Offline,central_offline_wh,3-Month,90,0.0,0,0,10
A0230,Offline,central_offline_wh,6-Month,183,0.0,0,0,10
A0230,Web,central_online_wh,1-Month,30,26.0,8,43,65
A0230,Web,central_online_wh,3-Month,90,78.0,8,43,65
A0230,Web,central_online_wh,6-Month,183,158.0,8,43,65
A0235,App,central_online_wh,1-Month,30,0.0,0,0,10
A0235,App,central_online_wh,3-Month,90,0.0,0,0,10
A0235,App,central_online_wh,6-Month,183,0.0,0,0,10
A0235,Offline,central_offline_wh,1-Month,30,4.0,4,9,25
A0235,Offline,central_offline_wh,3-Month,90,13.0,4,9,27
A0235,Offline,central_offline_wh,6-Month,183,26.0,4,9,26
A0235,Web,central_online_wh,1-Month,30,0.0,0,0,10
A0235,Web,central_online_wh,3-Month,90,0.0,0,0,10
A0235,Web,central_online_wh,6-Month,183,0.0,0,0,10
A0236,App,central_online_wh,1-Month,30,0.0,0,0,10
A0236,App,central_online_wh,3-Month,90,0.0,0,0,10
A0236,App,central_online_wh,6-Month,183,0.0,0,0,10
A0236,Offline,central_offline_wh,1-Month,30,4.0,3,8,25
A0236,Offline,central_offline_wh,3-Month,90,13.0,3,9,27
A0236,Offline,central_offline_wh,6-Month,183,26.0,3,9,26
A0236,Web,central_online_wh,1-Month,30,12.0,8,24,44
A0236,Web,central_online_wh,3-Month,90,39.0,9,26,46
A0236,Web,central_online_wh,6-Month,183,78.0,9,26,46
A0238,App,central_online_wh,1-Month,30,0.0,0,0,10
A0238,App,central_online_wh,3-Month,90,0.0,0,0,10
A0238,App,central_online_wh,6-Month,183,0.0,0,0,10
A0238,Offline,central_offline_wh,1-Month,30,0.0,0,0,10
A0238,Offline,central_offline_wh,3-Month,90,0.0,0,0,10
A0238,Offline,central_offline_wh,6-Month,183,0.0,0,0,10
A0238,Web,central_online_wh,1-Month,30,0.0,0,0,10
A0238,Web,central_online_wh,3-Month,90,0.0,0,0,10
A0238,Web,central_online_wh,6-Month,183,0.0,0,0,10
A0239,App,central_online_wh,1-Month,30,0.0,0,0,10
A0239,App,central_online_wh,3-Month,90,0.0,0,0,10
A0239,App,central_online_wh,6-Month,183,0.0,0,0,10
A0239,Offline,central_offline_wh,1-Month,30,28.0,8,46,67
A0239,Offline,central_offline_wh,3-Month,90,78.0,8,43,65
A0239,Offline,central_offline_wh,6-Month,183,158.0,8,43,65
A0239,Web,central_online_wh,1-Month,30,0.0,0,0,10
A0239,Web,central_online_wh,3-Month,90,0.0,0,0,10
A0239,Web,central_online_wh,6-Month,183,0.0,0,0,10
A0240,App,central_online_wh,1-Month,30,0.0,0,0,10
A0240,App,central_online_wh,3-Month,90,0.0,0,0,10
A0240,App,central_online_wh,6-Month,183,0.0,0,0,10
A0240,Offline,central_offline_wh,1-Month,30,38.0,20,71,79
A0240,Offline,central_offline_wh,3-Month,90,104.0,19,65,75
A0240,Offline,central_offline_wh,6-Month,183,212.0,19,65,75
A0240,Web,central_online_wh,1-Month,30,8.0,9,20,36
A0240,Web,central_online_wh,3-Month,90,26.0,9,21,37
A0240,Web,central_online_wh,6-Month,183,52.0,9,20,37
A0241,App,central_online_wh,1-Month,30,0.0,0,0,10
A0241,App,central_online_wh,3-Month,90,0.0,0,0,10
A0241,App,central_online_wh,6-Month,183,0.0,0,0,10
A0241,Offline,central_offline_wh,1-Month,30,0.0,0,0,10
A0241,Offline,central_offline_wh,3-Month,90,0.0,0,0,10
A0241,Offline,central_offline_wh,6-Month,183,0.0,0,0,10
A0241,Web,central_online_wh,1-Month,30,4.0,4,9,25
A0241,Web,central_online_wh,3-Month,90,13.0,4,9,27
A0241,Web,central_online_wh,6-Month,183,26.0,4,9,26
A0242,App,central_online_wh,1-Month,30,4.0,4,9,25
A0242,App,central_online_wh,3-Month,90,13.0,4,9,27
A0242,App,central_online_wh,6-Month,183,26.0,4,9,26
A0242,Offline,central_offline_wh,1-Month,30,0.0,0,0,10
A0242,Offline,central_offline_wh,3-Month,90,0.0,0,0,10
A0242,Offline,central_offline_wh,6-Month,183,0.0,0,0,10
A0242,Web,central_online_wh,1-Month,30,4.0,4,9,25
A0242,Web,central_online_wh,3-Month,90,13.0,4,9,27
A0242,Web,central_online_wh,6-Month,183,26.0,4,9,26
A0243,App,central_online_wh,1-Month,30,21.0,11,39,58
A0243,App,central_online_wh,3-Month,90,64.0,11,39,59
A0243,App,central_online_wh,6-Month,183,131.0,11,39,59
A0243,Offline,central_offline_wh,1-Month,30,56.0,18,92,95
A0243,Offline,central_offline_wh,3-Month,90,169.0,17,92,96
A0243,Offline,central_offline_wh,6-Month,183,338.0,17,91,95
A0243,Web,central_online_wh,1-Month,30,21.0,11,39,58
A0243,Web,central_online_wh,3-Month,90,64.0,11,39,59
A0243,Web,central_online_wh,6-Month,183,131.0,11,39,59
A0244,App,central_online_wh,1-Month,30,63.0,27,111,101
A0244,App,central_online_wh,3-Month,90,182.0,26,107,99
A0244,App,central_online_wh,6-Month,183,370.0,26,107,99
A0244,Offline,central_offline_wh,1-Month,30,13.0,9,27,46
A0244,Offline,central_offline_wh,3-Month,90,39.0,10,27,46
A0244,Offline,central_offline_wh,6-Month,183,78.0,9,27,46
A0244,Web,central_online_wh,1-Month,30,97.0,30,159,125
A0244,Web,central_online_wh,3-Month,90,286.0,29,156,124
A0244,Web,central_online_wh,6-Month,183,579.0,29,156,124
A0245,App,central_online_wh,1-Month,30,0.0,0,0,10
A0245,App,central_online_wh,3-Month,90,0.0,0,0,10
A0245,App,central_online_wh,6-Month,183,0.0,0,0,10
A0245,Offline,central_offline_wh,1-Month,30,0.0,0,0,10
A0245,Offline,central_offline_wh,3-Month,90,0.0,0,0,10
A0245,Offline,central_offline_wh,6-Month,183,0.0,0,0,10
A0245,Web,central_online_wh,1-Month,30,0.0,0,0,10
A0245,Web,central_online_wh,3-Month,90,0.0,0,0,10
A0245,Web,central_online_wh,6-Month,183,0.0,0,0,10
A0249,App,central_online_wh,1-Month,30,5.0,4,11,28
